Row_Id,Order Id,Order Date,Customer Fname,Customer Lname,Category Name,Customer Segment,Order Items,Market Region,Additional Order items,Customer City,Customer Country,Customer Id,Customer State,Customer Zipcode,Order Region,Order Quantity,Sales,Profit Per Order
C_61558_1,61558,17-06-2017,Sean,Powers,Camping & Hiking,Consumer,Camping & Hiking,LATAM,Camping & Hiking,Caguas,Puerto Rico,568,PR,725,South America,1,800,78.29000092
C_57472_2,57472,18-04-2017,Carol,Ober,Camping & Hiking,Consumer,Camping & Hiking,LATAM,Camping & Hiking,Caguas,Puerto Rico,3341,PR,725,South America,1,800,-16.20000076
C_59898_3,59898,24-05-2017,Mary,Brown,Camping & Hiking,Consumer,Camping & Hiking,LATAM,Camping & Hiking,Mayaguez,Puerto Rico,7459,PR,680,Central America,1,800,11.61999989
C_59898_4,59898,24-05-2017,Mary,Etezadi,Camping & Hiking,Consumer,Camping & Hiking,LATAM,Camping & Hiking,Mayaguez,Puerto Rico,7459,PR,680,Central America,1,800,-3.390000105
C_58644_5,58644,05-06-2017,Mary,O'Briant,Hunting & Shooting,Consumer,Hunting & Shooting,LATAM,Hunting & Shooting,Caguas,Puerto Rico,10740,PR,725,Central America,1,149.9900055,-95.65000153
C_58644_5,58644,05-06-2017,Mary,Saunders,Hunting & Shooting,Consumer,Hunting & Shooting,LATAM,Hunting & Shooting,Caguas,Puerto Rico,10740,PR,725,Central America,1,149.9900055,-95.65000153
C_57233_6,57233,15-04-2017,Amanda,Sundaresam,Camping & Hiking,Consumer,Camping & Hiking,LATAM,Camping & Hiking,Caguas,Puerto Rico,5193,PR,725,South America,1,800,-665.5100098
C_56882_7,56882,04-10-2017,Mary,Seite,Camping & Hiking,Consumer,Camping & Hiking,LATAM,Camping & Hiking,Caguas,Puerto Rico,2092,PR,725,Caribbean,1,800,71.40000153
C_56882_7,56882,04-10-2017,Mary,Jacobs,Camping & Hiking,Consumer,Camping & Hiking,LATAM,Camping & Hiking,Caguas,Puerto Rico,2092,PR,725,Caribbean,1,800,71.40000153
C_51638_8,51638,23-01-2017,Andrea,Vernon,Camping & Hiking,Consumer,Camping & Hiking,LATAM,Camping & Hiking,Caguas,Puerto Rico,9645,PR,725,Central America,1,800,-31.87000084
C_60578_9,60578,06-03-2017,Mary,Dahlen,Camping and Hiking,Consumer,Camping & Hiking,LATAM,Camping & Hiking,Caguas,Puerto Rico,997,PR,725,Caribbean,1,800,118.4300003
C_55200_10,55200,16-03-2017,Mary,DeCherney,Camping and Hiking,Consumer,Camping & Hiking,LATAM,Camping & Hiking,Caguas,Puerto Rico,3339,PR,725,Caribbean,1,800,78.87000275
